bus_line_id,driver_name,bus_color,bus_start_time,bus_end_time,bus_built_date,bus_route,bus_price(R$),bus_integrity,bus_company,bus_capacity
189,Fayre Pettecrew,#12ae7d,4:59 PM,7:09 PM,2005-08-23,Jardim Botânico-Leblon,912345.67,0.5933333333333334,Romaguera-Sipes,55
190,Terri Dearnly,#3486b1,5:43 PM,8:43 AM,2007-12-03,rota não atribuída,856789.01,0.63,Lubowitz Inc,60
191,motorista não atribuído,#0c85b1,7:13 AM,10:12 AM,2010-06-21,Botafogo-Leme,1145678.9,0.62,Orn LLC,46
192,Candida Carpmile,#282bad,8:33 AM,5:51 PM,2003-10-17,Ipanema-Lapa,967890.12,0.99,"Hyatt, Little and Lesch",46
193,motorista não atribuído,#c93251,4:48 PM,1:39 PM,2019-08-25,Copacabana-Barra da Tijuca,1034567.89,0.895,"Feeney, Grimes and Gibson",37
194,Mathe Picot,#f75bb7,12:52 AM,4:52 PM,2009-02-11,Lapa-Jardim Oceânico,1189012.34,0.8,"Block, Ryan and Kuvalis",52
195,Pearla Goodisson,#9962ff,5:27 PM,12:39 PM,2022-04-03,Jardim Botânico-Flamengo,1467890.12,0.95,"Fahey, Koss and Yost",43
196,Lissi Layman,#a7411a,6:33 AM,6:54 AM,2015-06-15,Leme-Gávea,567890.12,0.73,"Kreiger, Dach and Streich",43
197,Inga Morales,#7aa983,2:35 AM,7:01 PM,2016-12-09,Copacabana-Ipanema,956789.01,0.62,"Robel, Hirthe and Skiles",55
198,Gabriele Roux,#9541f0,12:33 PM,9:46 AM,2013-07-02,Jardim Oceânico-Glória,1423456.78,0.58,Cummerata-Borer,59
199,Lavinie Crichton,#fc8993,5:21 AM,8:51 PM,2018-10-14,Largo do Machado-Barra da Tijuca,1401234.56,0.63,Simonis-Schuppe,39
200,Angil Bibby,#6f0472,12:33 AM,12:32 PM,2013-07-15,Lapa-Gávea,634567.89,0.68,Walter Group,44
201,Stephanie Couve,#03c17b,4:34 AM,6:13 PM,2022-05-06,Botafogo-Leme,745678.9,0.62,"Blanda, Kassulke and Kutch",35
202,Blondy McCart,#ac15f5,1:40 AM,12:24 PM,2015-01-23,Gávea-Copacabana,1401234.56,0.99,"Casper, Mohr and Towne",59
203,Tyrone Pottes,#05682c,5:42 PM,10:07 AM,2023-05-15,Lapa-Jardim Oceânico,601234.56,0.58,Hintz Inc,53
204,Washington Bowshire,#5892cb,4:31 PM,9:30 PM,2023-04-19,Leme-Gávea,667890.12,0.74,"Cummerata, Balistreri and Rodriguez",60
205,Trev Radmore,#2e6ae0,12:39 PM,4:56 PM,2008-07-21,rota não atribuída,889012.34,0.69,Rutherford Inc,38
206,Padraic Maxwell,#fbeadd,4:34 AM,11:07 PM,2009-12-06,Leblon-Lapa,1034567.89,0.74,Turcotte-Monahan,57
207,Kalindi Mallows,#12a6d1,12:16 AM,3:18 PM,2012-04-04,Jardim Oceânico-Copacabana,678901.23,0.73,Nader-Schaefer,47
208,Virge Westgate,#443cac,8:23 AM,9:20 PM,2005-12-14,Centro-Jardim Botânico,1489012.34,0.68,Ryan Group,31
209,motorista não atribuído,#958474,9:46 AM,10:55 AM,2009-10-04,Jardim Oceânico-Leme,1389012.34,0.69,Jast-Swift,40
210,Delphine Vitler,#d7bf55,12:43 PM,4:59 PM,2009-04-08,São Conrado-Jardim Botânico,956789.01,0.8,Schmidt LLC,58
211,Merl Nutley,#ef065e,7:45 AM,7:38 PM,2023-05-07,Centro-Jardim Botânico,690123.45,0.69,Rippin and Sons,45
212,Carin Oxley,#e56254,4:37 AM,10:43 PM,2017-08-12,Copacabana-Barra da Tijuca,990123.45,0.58,Walsh and Sons,55
213,Gram Pales,#f013e6,7:04 AM,2:58 PM,2013-08-21,Flamengo-São Conrado,1123456.78,0.68,"DuBuque, Lindgren and Boehm",45
214,Sondra Fitchen,#06125c,6:45 AM,9:35 PM,2010-07-22,Urca-Largo do Machado,1123456.78,0.79,"Bradtke, Hermiston and Dickinson",34
215,Eva Shenfish,#b1e145,5:18 AM,4:00 PM,2016-05-12,Glória-Jardim Oceânico,1412345.67,0.52,Willms-Kozey,41
216,Javier Slym,#b025d9,2:28 PM,9:23 PM,2004-10-16,Urca-Lapa,923456.78,0.63,Lemke-Wilkinson,42
217,Carole Standbridge,#96f8ea,5:18 PM,8:43 PM,2020-08-09,Largo do Machado-Glória,545678.9,0.73,Sawayn-Becker,36
218,Heda Stuckes,#be7ed6,10:48 AM,9:27 PM,2008-02-07,Leblon-Largo do Machado,1167890.12,0.68,Miller-Kertzmann,34
219,Bessie Kinnock,#34e3e1,1:05 AM,10:29 AM,2013-07-18,Lapa-Gávea,712345.67,0.51,Wiegand LLC,51
220,Gypsy Gurry,#748322,12:40 PM,11:27 AM,2022-05-11,Gávea-Botafogo,1490123.45,0.9,"Connelly, Franecki and Wyman",53
221,Carley Bourtoumieux,#3bb7c3,3:45 AM,8:58 PM,2019-10-09,Jardim Botânico-São Conrado,834567.89,0.84,Feil-Hauck,31
222,Hester Surgey,#d7c28f,3:55 PM,12:20 PM,2020-12-16,Copacabana-Barra da Tijuca,812345.67,0.8,Berge-Lowe,40
223,Kayle Wickie,#c60b1e,12:07 PM,5:00 PM,2017-03-26,Botafogo-Jardim Oceânico,912345.67,0.9,"Johnson, Heathcote and Effertz",44
224,Marielle Coase,#9afe8c,5:53 AM,8:57 AM,2004-07-29,São Conrado-Largo do Machado,1167890.12,0.51,"Turner, Raynor and Howe",60
225,Waly Fleet,#341bcb,1:51 AM,11:19 AM,2005-12-31,Ipanema-Lapa,689012.34,0.79,"O'Conner, Bode and Bernier",46
226,Andrey Lempenny,#315231,1:22 AM,7:40 AM,2014-11-05,Largo do Machado-Urca,923456.78,0.58,Kris-Kihn,54
227,Brockie Gersam,#375aef,1:58 PM,3:48 PM,2007-12-09,Jardim Oceânico-Copacabana,1312345.67,0.51,Weber-Grady,41
228,Adams Barge,#c89720,6:09 AM,5:24 PM,2020-07-14,Flamengo-São Conrado,601234.56,0.8,Windler and Sons,51
229,Tricia Prettjohn,#5e09f4,12:59 PM,12:40 PM,2003-11-10,Flamengo-Copacabana,723456.78,0.84,Trantow Group,53
230,Nollie Terry,#376ed4,7:24 AM,8:12 PM,2021-12-15,Largo do Machado-Glória,1390123.45,0.62,"Tillman, Hodkiewicz and Corkery",57
231,Lianne Yule,#75017f,2:57 PM,12:05 PM,2008-07-17,Gávea-Centro,1045678.9,0.79,Littel Inc,44
232,motorista não atribuído,#39bb8b,2:26 AM,4:46 PM,2004-10-08,Jardim Oceânico-Copacabana,612345.67,0.99,Green-Rice,52
233,Mikael McManamen,#4316a7,5:29 AM,7:46 AM,2013-03-25,Ipanema-Jardim Botânico,934567.89,0.57,"Ryan, Breitenberg and Turner",32
234,Hillary Bosomworth,#0b51bd,4:30 PM,7:17 AM,2021-04-10,Flamengo-Copacabana,1389012.34,0.79,"Gottlieb, Hilpert and Maggio",39
235,Lisa Thorwarth,#e6dbd3,10:20 AM,8:24 AM,2012-10-14,Botafogo-Jardim Botânico,967890.12,0.8,Rohan-Wyman,34
236,Niall MacMaykin,#3045dc,1:09 PM,10:42 PM,2003-12-06,Largo do Machado-Jardim Botânico,1156789.01,0.68,"Jacobson, Schmitt and McDermott",33
237,motorista não atribuído,#f60686,11:57 AM,6:30 PM,2004-12-23,Gávea-Botafogo,645678.9,0.65,Wiegand Inc,36
238,Flint Storr,#4c47f6,5:50 PM,8:31 PM,2007-03-26,rota não atribuída,1478901.23,0.62,"Bayer, Towne and Ritchie",38
239,Stepha McDavitt,#827a58,4:56 PM,8:32 PM,2016-02-24,Lapa-Copacabana,1156789.01,0.73,"Kassulke, Johns and Brakus",54
240,Jilleen McGarrity,#0cbd75,5:10 PM,6:17 AM,2021-06-22,Lapa-Gávea,1423456.78,0.79,Dibbert and Sons,32
241,Henrie Kinnier,#38bcb8,12:55 AM,7:00 AM,2012-09-01,São Conrado-Glória,845678.9,0.87,Doyle Inc,50
242,Reade Dollman,#9a49c9,2:22 PM,7:05 AM,2002-07-07,Lapa-Gávea,1212345.67,0.95,Torp-Bailey,55
243,motorista não atribuído,#8415aa,1:32 PM,7:41 PM,2011-01-20,rota não atribuída,989012.34,0.57,"Hettinger, Dibbert and Jerde",33
244,Filippa Carlett,#01c6cf,4:41 AM,2:12 PM,2015-09-14,Lapa-Leblon,1423456.78,0.73,Cummings LLC,56
245,Zulema Powlett,#b9d1b4,5:59 PM,5:15 PM,2013-01-01,Ipanema-Gávea,889012.34,0.62,Rempel-Schneider,57
246,Antonie Reglar,#5b08cf,12:56 PM,7:15 AM,2009-10-23,Jardim Oceânico-Leme,1478901.23,0.95,Cummerata LLC,33
247,Jemimah Wareham,#95e77a,12:56 PM,7:06 AM,2015-09-09,Leblon-São Conrado,1123456.78,0.68,Stark and Sons,44
248,Cheston Wahner,#e08a12,9:05 AM,11:50 PM,2019-10-28,Gávea-Botafogo,601234.56,0.9,McGlynn Inc,60
249,Beau Mooreed,#d98a5e,9:40 AM,9:41 AM,2009-01-19,Leblon-Largo do Machado,1034567.89,0.8,"Schumm, Gulgowski and Kiehn",32
250,Ingmar Arnow,#a1dde6,4:22 AM,10:26 AM,2002-08-25,Centro-Barra da Tijuca,1434567.89,0.52,"Hoeger, Schaden and Breitenberg",40
251,Domini Palomba,#28a8a3,10:22 AM,6:15 PM,2005-08-23,São Conrado-Largo do Machado,601234.56,0.63,Hessel-Wyman,34
252,Brigit MacGarvey,#004abe,8:18 AM,4:38 PM,2006-03-16,Flamengo-São Conrado,723456.78,0.74,Haley-Kshlerin,36
253,Ximenez Dilawey,#364bc7,1:35 AM,10:32 PM,2016-02-08,rota não atribuída,789012.34,0.51,Stracke-Hirthe,46
254,Urbain Yushkin,#a41a97,9:52 AM,5:09 PM,2009-06-17,Ipanema-Jardim Botânico,1190123.45,0.62,"Howell, Labadie and Kuphal",55
255,Ezmeralda McFadden,#7b8d8d,11:15 AM,12:34 PM,2016-08-07,Barra da Tijuca-Centro,734567.89,0.8,Spencer-Murphy,30
256,Erek Boame,#6d903a,5:07 PM,9:25 PM,2016-10-08,Jardim Oceânico-Glória,712345.67,0.84,Rath-Upton,50
257,Sullivan Emsden,#e6e99a,6:51 AM,12:06 PM,2022-04-21,São Conrado-Glória,1301234.56,0.63,"Howell, Ziemann and Lakin",57
258,Penelope Gabitis,#451a05,3:04 AM,1:08 PM,2020-12-01,Centro-Leme,1023456.78,0.84,Beatty Inc,47
259,Micki Decort,#d5c32f,1:40 AM,9:13 PM,2014-07-22,Flamengo-Largo do Machado,1289012.34,0.8,Reichel-Wiza,57
260,Lazar Conibear,#846100,3:05 PM,10:40 AM,2010-07-22,Urca-Botafogo,634567.89,0.63,McKenzie Inc,48
261,Fitz Dulieu,#e51936,5:37 PM,10:45 PM,2016-01-26,Barra da Tijuca-Jardim Botânico,701234.56,0.99,Corkery Group,44
262,Estell O'Hone,#043c11,7:37 AM,10:08 AM,2003-08-12,Botafogo-Jardim Oceânico,589012.34,0.7849999999999999,"Toy, Predovic and Altenwerth",47
263,Hayes Randalson,#5132a8,11:00 AM,6:47 PM,2013-09-10,Lapa-Gávea,1445678.9,0.58,Gutkowski and Sons,45
264,Waverley Cheng,#ed58d5,12:48 AM,5:30 PM,2014-10-02,Centro-Jardim Botânico,1145678.9,0.69,"Wunsch, Howe and Carter",50
265,Krystal Rockey,#ef9bd6,6:10 AM,9:51 AM,2017-02-02,Copacabana-Ipanema,901234.56,0.99,Leffler-Heaney,45
266,Charleen Elves,#e59f1b,4:20 PM,11:04 PM,2022-06-14,rota não atribuída,1167890.12,0.52,Mertz LLC,49
267,Theodore Gravett,#c60514,4:40 PM,9:21 AM,2014-11-03,Copacabana-Ipanema,690123.45,0.58,Leuschke-Rolfson,56
268,Arlana Fahey,#e783f4,10:38 AM,6:48 PM,2021-09-17,Flamengo-São Conrado,823456.78,0.685,Little-Kuhn,36
269,Leann Selkirk,#15c7ed,8:10 AM,8:22 PM,2008-08-25,Barra da Tijuca-Jardim Botânico,1034567.89,0.79,Swaniawski and Sons,44
270,Morna Yallop,#6bdece,2:11 PM,11:32 PM,2008-01-24,Flamengo-Largo do Machado,1289012.34,0.68,Jast-Cartwright,55
271,Elaine Gisbye,#fd85d7,1:44 AM,9:51 PM,2018-12-20,Copacabana-Ipanema,1045678.9,0.51,"Bednar, Weber and Brekke",43
272,Tybi Katt,#371fd7,2:57 PM,5:58 PM,2015-09-15,rota não atribuída,1045678.9,0.58,Stanton-Okuneva,54
273,Bunny Brasier,#580ceb,10:35 AM,2:55 PM,2005-01-20,Centro-Barra da Tijuca,1256789.01,0.58,"Bins, Schinner and Kozey",30
274,Charil Jerg,#4b987b,4:49 PM,1:08 PM,2007-06-01,Jardim Oceânico-Copacabana,1156789.01,0.8,Gerlach-Wunsch,54
275,Tadeas Upcraft,#517612,3:29 PM,10:42 PM,2006-11-09,Copacabana-Ipanema,989012.34,0.99,"Smitham, Hane and Lindgren",55
276,Ardenia Cahen,#0f80a2,11:27 AM,7:35 AM,2023-04-25,Urca-Largo do Machado,1023456.78,0.58,Franecki-Romaguera,31
277,Mord Vinsen,#65ddb9,6:33 AM,9:18 AM,2010-11-24,Centro-Leme,1378901.23,0.99,Steuber Group,37
278,Archy Caen,#d0784a,9:55 AM,12:43 PM,2009-12-05,Urca-Botafogo,1078901.23,0.62,O'Hara and Sons,54
279,Kevyn Schoenleiter,#bb03f5,4:34 PM,12:50 PM,2021-06-24,Leblon-Lapa,1489012.34,0.52,Glover and Sons,33
280,Dayle Feenan,#0ca880,3:03 AM,2:14 PM,2012-10-01,Largo do Machado-Jardim Botânico,1089012.34,0.655,Price LLC,35
281,Kienan Brewett,#1e5ab4,12:51 AM,12:48 PM,2006-02-20,Jardim Botânico-São Conrado,978901.23,0.79,Crona-Berge,47
282,Kaye Lindeman,#c27093,2:28 PM,5:58 PM,2004-03-11,Botafogo-Leme,1434567.89,0.99,Goyette-Barrows,42
283,Lek Remirez,#5f9677,4:51 AM,1:12 PM,2019-11-07,Gávea-Botafogo,923456.78,0.73,"Johnson, Schaden and Barton",59
284,Jarid Elen,#0a32df,12:24 PM,11:33 PM,2023-04-18,Gávea-Centro,1445678.9,0.73,"Jerde, Sporer and Cormier",34
285,Demeter Skeech,#d30ff4,12:44 AM,8:00 PM,2023-02-18,rota não atribuída,1378901.23,0.51,"Ryan, Littel and Wisoky",55
286,Fidela MacIlraith,#726dbc,6:40 AM,9:12 AM,2023-05-03,São Conrado-Urca,589012.34,0.69,Hirthe LLC,58
287,Clotilda Doornbos,#12951d,5:20 PM,6:11 AM,2013-09-03,Largo do Machado-Jardim Botânico,723456.78,0.79,Gutkowski LLC,41
288,motorista não atribuído,#6737df,10:54 AM,9:55 AM,2004-12-31,Copacabana-Lapa,790123.45,0.84,Kunde-Bosco,58
289,Gavra Worsnop,#815278,1:09 AM,6:41 PM,2004-04-12,São Conrado-Jardim Botânico,589012.34,0.58,McKenzie-Spinka,55
290,Sheila-kathryn Tapner,#df8453,7:59 AM,8:32 PM,2014-10-10,rota não atribuída,1045678.9,0.74,"Hoppe, Schroeder and Roberts",47
291,Ricki Claesens,#70c900,6:52 AM,9:31 AM,2007-08-11,Centro-Barra da Tijuca,801234.56,0.845,Nader-Blick,55
292,Jaye Divall,#489dd1,11:07 AM,8:15 AM,2017-04-02,Jardim Oceânico-Leme,1489012.34,0.95,Bergstrom-Reichel,55
293,Romy Paik,#0acd08,5:08 PM,11:29 PM,2010-03-08,Ipanema-Lapa,556789.01,0.51,"Greenholt, Crona and Lueilwitz",39
294,Britt Rydzynski,#fe763f,7:14 AM,5:09 PM,2013-09-21,Jardim Botânico-Flamengo,945678.9,0.74,Grimes-Metz,45
295,Shane Dozdill,#33237d,12:40 PM,6:12 AM,2007-04-11,Botafogo-Centro,1423456.78,0.52,Mills-Corkery,35
296,Brittani Harding,#3a3cca,3:23 AM,4:28 PM,2003-04-13,Barra da Tijuca-Leblon,634567.89,0.69,Sanford-Rippin,45
297,Eugenio Caccavella,#36fa26,12:25 AM,3:14 PM,2012-03-27,Barra da Tijuca-Jardim Botânico,612345.67,0.95,Gutkowski-Crooks,30
298,Aindrea Olanda,#705f3d,2:03 PM,4:07 PM,2013-08-20,Leme-Gávea,1278901.23,0.63,Powlowski Inc,44
299,Andy Allam,#c152de,9:24 AM,7:44 AM,2008-04-04,Lapa-Gávea,1334567.89,0.68,Becker-Mante,58
300,Florry Adshed,#7b8653,12:22 PM,4:48 PM,2013-02-13,Leme-Gávea,1156789.01,0.62,Koelpin-Hickle,49
301,Dorena Nutman,#fa925c,2:01 PM,10:38 PM,2023-05-04,Lapa-Jardim Oceânico,1301234.56,0.51,Raynor LLC,51
302,Terri Mannakee,#1c3701,4:58 AM,5:59 PM,2014-11-08,Copacabana-Lapa,1289012.34,0.52,"Davis, Kautzer and Kling",36
303,Larina Manchester,#738c16,5:11 PM,11:14 PM,2007-12-21,Gávea-Copacabana,601234.56,0.68,Medhurst-Lind,36
304,Gretel Hodcroft,#f4e379,3:44 PM,11:52 PM,2015-12-10,Ipanema-Jardim Botânico,1212345.67,0.8,"Stehr, Toy and Reichel",37
305,Blisse Wiggam,#7e6062,9:20 AM,10:02 AM,2018-09-13,Gávea-Botafogo,989012.34,0.51,Little Group,54
306,Berky Daniells,#0bf77b,9:13 AM,11:53 PM,2017-08-21,Centro-Jardim Botânico,1067890.12,0.69,Stoltenberg and Sons,58
307,Fayre Witnall,#758592,2:32 PM,10:45 AM,2005-03-18,Lapa-Copacabana,1223456.78,0.79,Bogan-Mayert,57
308,Veronike Suffield,#7e9cbf,10:11 AM,11:58 AM,2009-01-31,Flamengo-Copacabana,634567.89,0.73,Orn-Smitham,54
309,motorista não atribuído,#d60971,10:18 AM,6:57 AM,2017-06-19,Copacabana-Lapa,856789.01,0.99,"Glover, Carroll and Ebert",51
310,Sascha Scardafield,#1ffca7,8:56 AM,8:10 AM,2009-05-27,rota não atribuída,1112345.67,0.73,Schinner and Sons,54
311,Delaney Dressel,#320bae,6:23 AM,5:50 PM,2014-10-10,Barra da Tijuca-Jardim Botânico,890123.45,0.74,"Breitenberg, Bauch and Berge",49
312,Victoir Kepling,#5591a2,10:12 AM,12:17 PM,2018-10-08,rota não atribuída,712345.67,0.58,Weber LLC,37
313,Darryl Message,#8d6f9e,2:31 AM,11:08 AM,2020-07-01,Flamengo-Copacabana,578901.23,0.51,"Weber, Rodriguez and Kilback",30
314,Ole Seth,#9703bf,11:23 AM,1:24 PM,2021-09-20,Leme-Botafogo,1301234.56,0.95,Kuphal-Feeney,45
315,Ellis Portugal,#86d800,3:12 AM,1:07 PM,2015-09-06,Ipanema-Jardim Botânico,889012.34,0.52,Nolan LLC,54
316,Yurik Sunman,#299a5e,1:04 PM,9:54 AM,2020-10-11,Barra da Tijuca-Leblon,789012.34,0.52,Dicki-Watsica,35
317,Glory Tosney,#62cc9f,3:52 PM,5:37 PM,2012-09-28,Jardim Botânico-Leblon,1367890.12,0.51,Deckow-Frami,52
318,Fiona Crosthwaite,#6fcb62,3:56 AM,11:44 AM,2005-10-23,Flamengo-Copacabana,1090123.45,0.69,"Quigley, White and Toy",47
319,Roz Surgen,#50c5d3,8:55 AM,10:23 AM,2003-09-13,Copacabana-Lapa,590123.45,0.63,"Satterfield, Schultz and Reinger",48
320,Faydra Aymerich,#13f690,8:30 AM,3:34 PM,2010-04-18,Glória-Jardim Oceânico,1034567.89,0.68,Feil Inc,30
321,motorista não atribuído,#f8c3ac,7:31 AM,8:07 PM,2006-06-02,Gávea-Copacabana,778901.23,0.74,"Fisher, Wilkinson and Okuneva",41
322,Mario Zohrer,#f82d98,3:39 PM,12:39 PM,2012-08-29,Lapa-Gávea,1190123.45,0.68,"Senger, Kutch and Watsica",31
323,Maryl Bryde,#270fc9,5:21 AM,7:25 PM,2015-05-08,Leblon-Lapa,1001234.56,0.79,Sipes-Goyette,60
324,Mandi Petican,#0ab50e,1:24 PM,5:19 PM,2014-02-10,Ipanema-Lapa,1356789.01,0.68,Terry-Schaden,44
325,Tallie Pabst,#479fb1,6:25 AM,11:54 PM,2018-10-27,Copacabana-Lapa,767890.12,0.99,Quigley Group,40
326,Jorry Fitter,#2fecc3,11:09 AM,7:31 AM,2016-09-11,Centro-Leme,1445678.9,0.84,Bergstrom Group,52
327,Nancy Rump,#9acb16,5:54 AM,9:37 PM,2006-01-12,Jardim Oceânico-Leme,945678.9,0.99,"Yost, Altenwerth and Macejkovic",41
328,Katherina MacDonough,#62ada8,5:29 PM,6:16 AM,2020-09-11,Lapa-Copacabana,1401234.56,0.8,Schinner-Torp,44
329,Quincy Remington,#3e15dc,8:34 AM,9:16 PM,2009-10-25,Jardim Oceânico-Glória,690123.45,0.79,Emard Inc,48
330,Eloise Coners,#d2a7bf,2:29 AM,11:22 PM,2011-10-25,Jardim Botânico-São Conrado,890123.45,0.8,Hansen Inc,46
331,Christine Gosling,#0cdf4e,7:17 AM,5:48 PM,2003-10-23,Gávea-Lapa,656789.01,0.63,"Witting, Prosacco and O'Reilly",38
332,Lamont Hayhow,#c39cfd,3:12 PM,9:24 PM,2011-01-08,Gávea-Lapa,1201234.56,0.51,Powlowski-Jaskolski,39
333,Dasya Allkins,#bea514,2:52 PM,11:09 AM,2002-12-11,Leblon-São Conrado,689012.34,0.58,Hyatt-Runolfsson,52
334,Saree Hilhouse,#59f57f,3:55 AM,7:20 AM,2019-05-22,Centro-Jardim Botânico,1301234.56,0.52,"Collier, Maggio and Ondricka",35
335,Edwin Wratten,#395e3a,7:11 AM,3:35 PM,2010-12-26,Copacabana-Ipanema,612345.67,0.63,Homenick-Kunde,47
336,Crystal Novotna,#4486b3,10:13 AM,9:30 PM,2022-03-21,Jardim Oceânico-Leme,1345678.9,0.62,"Nitzsche, Murphy and Mante",54
337,Nils Wheelhouse,#bbaee6,1:12 AM,10:06 PM,2017-11-23,Leme-Botafogo,1112345.67,0.565,"Erdman, Huels and Brekke",37
338,Fairfax Hixley,#affbd5,11:53 AM,9:27 AM,2019-12-16,Centro-Leme,578901.23,0.51,"Veum, Jacobson and Turcotte",39
339,Bartlett Besque,#3e7d93,8:55 AM,6:01 AM,2014-07-10,Leme-Botafogo,1356789.01,0.63,"Zboncak, Fahey and Ortiz",46
340,Darcie Daverin,#582960,5:23 PM,10:52 PM,2002-11-09,Gávea-Botafogo,1045678.9,0.95,Johnston-Gislason,50
341,Caressa MacCurlye,#c9c912,12:38 AM,11:23 AM,2018-01-22,Lapa-Leblon,1145678.9,0.63,Krajcik-Feeney,59
342,Nicolette Mabe,#ecb878,12:27 PM,11:25 PM,2009-04-19,Jardim Botânico-Flamengo,1190123.45,0.57,Nicolas-Tromp,32
343,motorista não atribuído,#b70dbc,3:38 PM,10:12 AM,2012-01-04,Lapa-Leblon,745678.9,0.73,"Wisozk, Kulas and McLaughlin",54
344,Chet Amsden,#6776e1,6:04 AM,6:28 AM,2016-12-06,Botafogo-Jardim Oceânico,1234567.89,0.62,O'Kon-Bosco,37
345,Ginger Merveille,#60c7d6,1:37 PM,8:35 PM,2010-03-14,Jardim Oceânico-Leme,923456.78,0.74,Connelly-Weber,55
346,Herculie Vigar,#7d3b75,12:28 PM,12:17 PM,2004-03-26,Lapa-Leblon,723456.78,0.99,"Hand, Pagac and Dickinson",46
347,Jarred Milburn,#1be3c2,1:06 PM,3:45 PM,2015-09-21,Glória-Jardim Oceânico,1378901.23,0.68,Harber and Sons,54
348,Debera Zukierman,#d4ddb8,5:02 PM,12:07 PM,2020-03-05,Lapa-Gávea,712345.67,0.7350000000000001,"Berge, Hahn and Goldner",53
349,Pepillo Eim,#0b4de3,11:46 AM,4:31 PM,2020-05-21,São Conrado-Largo do Machado,1090123.45,0.79,"Walker, Herzog and Batz",33
350,Moyra Chasson,#dc5df3,4:51 PM,6:04 PM,2009-01-14,Lapa-Leblon,1101234.56,0.95,Berge Inc,36
351,Arlinda Marthen,#d338f8,4:33 PM,7:12 PM,2020-05-11,Lapa-Leblon,1212345.67,0.99,"Gerlach, Rippin and Hammes",55
352,Dagmar Seman,#0ec2ef,1:44 AM,3:31 PM,2018-12-02,Urca-Largo do Machado,1356789.01,0.51,Hagenes-Kuphal,40
353,Sandy Rowswell,#addfc4,2:10 PM,6:52 AM,2010-10-03,São Conrado-Urca,1312345.67,0.74,Swift Group,38
354,Cortie Ferrario,#6fff7d,12:49 AM,6:08 PM,2004-05-26,Gávea-Copacabana,967890.12,0.9,Bauch-Mueller,36
355,Fionna Redan,#17dbb3,5:06 AM,7:04 PM,2011-08-05,Largo do Machado-Urca,701234.56,0.95,"Glover, Cole and Grimes",38
356,Jobie Rudwell,#3e1ef3,12:40 AM,4:37 PM,2014-01-22,rota não atribuída,1212345.67,0.875,"Harber, Zieme and Funk",55
357,motorista não atribuído,#99a358,12:16 AM,9:37 PM,2007-11-04,Botafogo-Jardim Oceânico,1112345.67,0.8,Bogan-Kertzmann,36
358,Amii Mines,#07fd38,1:05 AM,5:52 PM,2010-10-22,Largo do Machado-Copacabana,612345.67,0.57,"Predovic, Graham and Howe",57
359,Ivie Drinkhill,#10da55,4:51 PM,3:52 PM,2011-04-19,Centro-Leme,1290123.45,0.62,"VonRueden, Feeney and Thompson",41
360,Florence Swithenby,#e28d7a,9:01 AM,6:43 AM,2015-04-09,Leblon-Botafogo,1123456.78,0.68,Luettgen Group,38
361,Munmro Conkie,#7770c7,6:34 AM,7:54 AM,2008-06-30,Botafogo-Centro,656789.01,0.95,Glover Group,53
362,Magdalena Myford,#ba65cc,12:50 PM,6:37 PM,2014-08-26,São Conrado-Largo do Machado,523456.78,0.57,Smith-Heller,60
363,Grant Chuter,#b811b5,5:12 AM,7:07 AM,2015-08-14,Botafogo-Leme,1245678.9,0.51,Price-Conn,50
364,Janela Bartozzi,#517c5b,6:48 AM,7:12 PM,2023-04-23,Gávea-Centro,1134567.89,0.69,"Becker, Littel and Satterfield",35
365,Jermayne Thorne,#0bb7ef,3:31 PM,12:05 PM,2021-02-22,Largo do Machado-Copacabana,945678.9,0.63,"Cummerata, Carroll and Rosenbaum",60
366,motorista não atribuído,#d7b6b6,10:34 AM,8:15 AM,2006-05-04,Glória-Leme,801234.56,0.51,"Runte, Schinner and Dooley",57
367,Tessy Gilkes,#48a2ad,3:34 AM,5:13 PM,2005-01-06,Urca-Lapa,1345678.9,0.57,Doyle-Dare,47
368,Sansone Viney,#604c81,2:29 AM,9:50 AM,2013-11-29,Urca-Lapa,1245678.9,0.74,Wolf-Corwin,41
369,Lida Longcaster,#8a05e7,3:31 AM,7:16 AM,2009-08-18,Copacabana-Ipanema,801234.56,0.69,"Baumbach, Little and Erdman",52
370,Pandora Vanshin,#28cf4a,8:20 AM,9:14 AM,2017-01-31,Centro-Leme,1267890.12,0.52,Kerluke Inc,40
371,Fred Bevens,#6e6bbc,6:05 AM,4:05 PM,2020-08-25,Copacabana-Ipanema,1245678.9,0.74,Rodriguez-Donnelly,31
372,Kaila Baxstar,#6b43eb,2:36 AM,8:04 AM,2007-11-23,Largo do Machado-Copacabana,756789.01,0.69,"Rath, Monahan and Koch",35
373,Hymie Lavrinov,#a0bbff,1:04 AM,4:13 PM,2005-09-06,Ipanema-Gávea,1145678.9,0.52,O'Hara-Weber,48
374,Philippe Baniard,#28abb0,9:44 AM,10:53 AM,2004-09-30,São Conrado-Urca,1256789.01,0.79,Langworth Group,48
375,Alida Allchorne,#57d8a8,8:50 AM,9:44 AM,2016-08-17,Largo do Machado-Glória,701234.56,0.79,Ferry Group,44
376,Blithe Trinkwon,#bd86d5,1:56 AM,10:52 PM,2011-10-20,Lapa-Leblon,1423456.78,0.63,"Herzog, Kutch and Jenkins",34
